energy,tempo,danceability,loudness,liveness,valence,speechiness,instrumentalness,track_popularity,key,duration_min,acousticness,popularity_Catergory,track_artist                                                                   ,release_date,
0.645,114.933,0.882,-7.233,0.057,0.788,0.0601,0.0000413,87,1,1.74,0.475,High_Popularity,Ndotz                                                                          , 8/23/2024               ,
0.872,184.115,0.466,-3.344,0.121,0.806,0.0336,0,89,7,3.17,0.0156,High_Popularity,Linkin Park                                                                    , 9/5/2024                ,
0.756,116.034,0.66,-3.743,0.193,0.838,0.032,0,92,0,2.85,0.00289,High_Popularity,Jimin                                                                          , 7/19/2024               ,
0.89,133.52,0.502,-5.175,0.217,0.259,0.0364,0.0117,83,4,4.88,0.000147,High_Popularity,AC/DC                                                                          , 9/24/1990               ,
0.446,123.596,0.743,-7.807,0.337,0.278,0.0683,0.118,82,4,3.87,0.0039,High_Popularity,The White Stripes                                                              , 4/1/2003                ,
0.43,91.844,0.515,-9.935,0.129,0.104,0.0372,0.000133,86,7,3.98,0.0097,High_Popularity,Radiohead                                                                      , 2/22/1993               ,
0.952,125.304,0.445,-5.321,0.112,0.624,0.0522,0.0843,84,6,5.93,0.09,High_Popularity,Guns N' Roses                                                                  , 7/21/1987               ,
0.492,120.151,0.828,-9.744,0.128,0.789,0.0276,0.00428,84,0,4.3,0.0644,High_Popularity,Fleetwood Mac                                                                  , 2/4/1977                ,
0.345,84.581,0.559,-13.496,0.141,0.458,0.0459,0.000105,82,4,4.41,0.0576,High_Popularity,Red Hot Chili Peppers                                                          , 9/24/1991               ,
0.697,116.109,0.741,-7.028,0.133,0.774,0.0277,0.0000228,84,0,2.67,0.0664,High_Popularity,Creedence Clearwater Revival                                                   , 12/7/1970               ,
0.7,188.386,0.31,-5.678,0.0828,0.763,0.047,0.00965,83,9,4.26,0.011,High_Popularity,AC/DC                                                                          , 7/25/1980               ,
0.373,92.718,0.671,-18.064,0.0481,0.732,0.0323,0.0000801,83,9,4.93,0.257,High_Popularity,TOTO                                                                           , 4/8/1982                ,
0.913,115.728,0.574,-4.793,0.156,0.423,0.133,0.00158,84,6,3.47,0.061,High_Popularity,AC/DC                                                                          , 7/27/1979               ,
0.812,80.09,0.505,-3.986,0.444,0.664,0.461,0,88,1,4.27,0.285,High_Popularity,Tyler and The Creator and GloRilla and Sexyy Red and Lil Wayne                           , 10/28/2024      ,
0.722,119.973,0.769,-5.485,0.111,0.57,0.0507,0.00000256,92,11,4.27,0.0584,High_Popularity,The Weeknd and Playboi Carti                                                    , 9/27/2024                                                                         ,
0.628,119.98,0.757,-6.715,0.221,0.321,0.101,0.0209,85,4,3.62,0.189,High_Popularity,Don Toliver                                                                    , 6/14/2024               ,
0.552,144.941,0.64,-5.679,0.119,0.112,0.129,0,84,2,3.8,0.0215,High_Popularity,Future and Metro Boomin and Travis Scott and Playboi Carti                            ,3/22/2024,
0.472,101.061,0.898,-7.001,0.141,0.214,0.0776,0,88,1,4.57,0.0107,High_Popularity,Kendrick Lamar                                                                 , 5/4/2024                ,
0.859,129.77,0.77,-3.382,0.673,0.64,0.275,0,85,10,3.45,0.362,High_Popularity,Tyler and The Creator and ScHoolboy Q and Santigold                                   , 10/28/2024,
0.878,82.557,0.661,-4.099,0.381,0.514,0.31,0,87,1,2.76,0.00289,High_Popularity,Tyler and The Creator                                                           , 10/28/2024                                                                       ,
0.472,101.061,0.898,-7.001,0.141,0.214,0.0776,0,88,1,4.57,0.0107,High_Popularity,Kendrick Lamar                                                                 , 5/4/2024                ,
0.552,144.941,0.64,-5.679,0.119,0.112,0.129,0,84,2,3.8,0.0215,High_Popularity,Future and Metro Boomin and Travis Scott and Playboi Carti                            , 3/22/2024,
0.676,162.012,0.814,-4.67,0.119,0.312,0.231,0.0000128,83,11,4.46,0.00709,High_Popularity,Future and Metro Boomin and Kendrick Lamar                                         , 3/22/2024                                            ,
0.668,87.973,0.573,-4.356,0.109,0.145,0.0467,0.0000401,82,7,3.33,0.189,High_Popularity,Metro Boomin and Future and Don Toliver                                            , 12/2/2022                                            ,
0.651,112.648,0.694,-6.968,0.0787,0.471,0.0784,0.0000136,93,6,3.76,0.496,High_Popularity,Oscar Maydon and Fuerza Regida                                                  , 9/26/2024                                                                          ,
0.581,99.973,0.805,-5.091,0.0933,0.528,0.0601,0.0202,86,6,2.96,0.0303,High_Popularity,Cris Mj and FloyyMenor and LOUKI                                                   , 9/12/2024                                                  ,
0.563,105.008,0.833,-5.593,0.139,0.343,0.204,0.0000127,82,4,3.05,0.528,High_Popularity,Rauw Alejandro and Bad Bunny                                                    , 11/15/2024                                                                          ,
0.482,100.029,0.69,-6.335,0.0728,0.356,0.2,0.0004,88,7,2.48,0.523,High_Popularity,Fuerza Regida                                                                  , 7/25/2024               ,
0.668,128.027,0.924,-6.795,0.0678,0.787,0.0469,0.000594,93,11,3.26,0.446,High_Popularity,KAROL G                                                                        , 6/21/2024               ,
0.712,91.98,0.848,-3.574,0.106,0.692,0.0981,0,84,1,4.97,0.221,High_Popularity,KAROL G and Feid and DFZM and Ovy On The Drums and J Balvin and Maluma and Ryan Castro and Blessd , 10/31/2024 ,
0.724,101.097,0.556,-3.165,0.217,0.681,0.119,0,82,0,4.11,0.267,High_Popularity,Duki and Myke Towers                                                            , 10/31/2024                                                                              ,
0.681,155.079,0.56,-6.304,0.106,0.388,0.244,0,89,6,3.72,0.103,High_Popularity,Omar Courtz and De La Rose                                                      , 9/20/2024                                                                      ,
0.536,97.541,0.716,-7.798,0.208,0.359,0.0328,0,84,2,4.01,0.452,High_Popularity,Junior H                                                                       , 10/5/2023               ,
