energy,tempo,danceability,loudness,liveness,valence,speechiness,instrumentalness,track_popularity,key,duration_min,acousticness,popularity_Catergory,track_artist                                                                   ,release_date,
0.5,117.896,0.664,-6.935,0.0966,0.801,0.0651,0,87,9,3.04,0.799,High_Popularity,Noah Kahan                                                                     , 10/14/2022              ,
0.216,79.109,0.555,-11.661,0.109,0.504,0.0721,0.00416,84,3,1.45,0.557,High_Popularity,Richy Mitch & The Coal Miners                                                  , 5/17/2017               ,
0.187,132.679,0.303,-16.757,0.102,0.212,0.0356,0.499,83,2,2.68,0.989,High_Popularity,Patrick Watson                                                                 , 9/10/2010               ,
0.551,148.035,0.527,-11.258,0.403,0.443,0.0345,0.00000275,84,7,2.66,0.384,High_Popularity,Michael Marcagi                                                                , 1/12/2024               ,
0.731,101.654,0.483,-6.696,0.151,0.484,0.0381,0,85,1,3.4,0.436,High_Popularity,Vance Joy                                                                      , 8/5/2014                ,
0.413,94.938,0.494,-10.432,0.193,0.273,0.0254,0.0000672,93,11,3.53,0.682,High_Popularity,Gigi Perez                                                                     , 7/26/2024               ,
0.618,126.031,0.853,-10.833,0.0972,0.32,0.0923,0.89,83,6,2.43,0.633,High_Popularity,Lost Frequencies and Tom Odell                                                  , 7/19/2024 ,
0.518,126.089,0.875,-8.388,0.125,0.37,0.0551,0.00995,84,2,3.56,0.0638,High_Popularity,CYRIL                                                                          , 11/10/2023              ,
0.518,126.089,0.875,-8.388,0.125,0.37,0.0551,0.00995,84,2,3.56,0.0638,High_Popularity,CYRIL                                                                          , 11/10/2023              ,
0.787,119.996,0.704,-6.751,0.159,0.31,0.0462,0.00538,83,11,3.57,0.00926,High_Popularity,HUGEL and Topic and Arash and Daecolm                                                 , 7/19/2024 ,
0.618,126.031,0.853,-10.833,0.0972,0.32,0.0923,0.89,83,6,2.43,0.633,High_Popularity,Lost Frequencies and Tom Odell                                                  , 7/19/2024,
0.712,91.98,0.848,-3.574,0.106,0.692,0.0981,0,84,1,4.97,0.221,High_Popularity,KAROL G and Feid and DFZM and Ovy On The Drums and J Balvin and Maluma and Ryan Castro and Blessd , DFZM,
0.519,100.025,0.763,-7.426,0.0816,0.804,0.0636,0.00000642,83,6,2.25,0.22,High_Popularity,FloyyMenor                                                                     , 8/9/2024                ,
0.778,96.057,0.911,-2.248,0.179,0.345,0.262,0.0000216,84,5,2.71,0.0887,High_Popularity,Bad Bunny and Feid                                                              , 10/13/2023                                               ,
0.738,169.918,0.841,-7.455,0.0892,0.484,0.307,0,83,7,2.88,0.52,High_Popularity,KAROL G and Peso Pluma                                                          , 8/10/2023 ,
0.646,176.088,0.756,-5.795,0.108,0.429,0.319,0.0000181,82,7,4.04,0.152,High_Popularity,J Balvin and Bad Bunny                                                          , 6/28/2019                                                                             ,
0.701,175.95,0.73,-5.885,0.151,0.785,0.106,0,82,5,3.46,0.132,High_Popularity,Maluma                                                                         , 10/30/2015                                                                 ,
0.737,91.986,0.708,-4.045,0.0955,0.607,0.0436,0.00162,82,1,3.3,0.0739,High_Popularity,Myke Towers                                                                    , 3/23/2023               ,
0.626,100.02,0.763,-5.637,0.205,0.78,0.0433,0.225,85,5,2.6,0.0859,High_Popularity,Cris Mj                                                                        , 5/23/2024               ,
0.499,99.986,0.791,-8.472,0.0899,0.669,0.0509,0.0000241,87,8,3.7,0.446,High_Popularity,FloyyMenor and Cris Mj                                                          , 2/2/2024                                                                          ,
0.668,128.027,0.924,-6.795,0.0678,0.787,0.0469,0.000594,93,11,3.26,0.446,High_Popularity,KAROL G                                                                        , 6/21/2024               ,
0.482,100.029,0.69,-6.335,0.0728,0.356,0.2,0.0004,88,7,2.48,0.523,High_Popularity,Fuerza Regida                                                                  , 7/25/2024               ,
0.583,115.221,0.669,-8.949,0.1,0.271,0.269,0.00000254,83,1,3.91,0.603,High_Popularity,Victor Mendivil and Oscar Maydon                                                , 7/30/2024                                                                     ,
0.86,100.019,0.774,-2.888,0.116,0.446,0.13,0,88,7,3.28,0.131,High_Popularity,Feid and ATL Jacob                                                              , 12/1/2023                                                              ,
0.722,119.973,0.769,-5.485,0.111,0.57,0.0507,0.00000256,92,11,4.27,0.0584,High_Popularity,The Weeknd and Playboi Carti                                                    , 9/27/2024                                                                            ,
0.818,97.571,0.373,-3.19,0.434,0.361,0.102,0,87,3,4.23,0.36,High_Popularity,Tyler and The Creator and Teezo Touchdown                                          , 10/28/2024                                            ,
0.621,119.043,0.455,-7.694,0.123,0.28,0.0517,0.00000259,82,0,4.19,0.651,High_Popularity,Travis Scott                                                                   , 7/28/2023               ,
0.652,141.981,0.47,-9.629,0.175,0.104,0.0561,0.0000408,84,2,3.17,0.0831,High_Popularity,A$AP Rocky and Imogen Heap and Clams Casino                                        , 8/18/2023                                  ,
0.574,120.013,0.669,-6.442,0.146,0.273,0.0286,0.00294,84,4,3.27,0.0175,High_Popularity,Lil Peep and XXXTENTACION                                                       , 11/9/2018 ,
0.628,90.482,0.639,-7.578,0.386,0.43,0.0398,0,83,6,3.96,0.0381,High_Popularity,Kanye West and Dwele                                                            , 9/11/2007                                                                      ,
0.251,139.999,0.746,-16.169,0.106,0.18,0.259,0.00203,84,11,2,0.782,High_Popularity,XXXTENTACION                                                                   , 8/25/2017               ,
0.678,117.067,0.595,-5.18,0.418,0.259,0.0335,0.00389,83,9,1.65,0.0199,High_Popularity,PARTYNEXTDOOR                                                                  , 7/1/2013                ,
0.533,131.036,0.797,-9.74,0.103,0.329,0.0412,0.000152,84,0,2.44,0.0172,High_Popularity,XXXTENTACION and Trippie Redd                                                   , 8/25/2017 ,
0.559,78.558,0.558,-9.222,0.109,0.62,0.0959,0.00000749,90,6,3.01,0.371,High_Popularity,Tyler and The Creator and Kali Uchis                                               ,7/21/2017,
0.642,83.389,0.463,-4.474,0.0686,0.339,0.34,0,82,1,3.16,0.314,High_Popularity,Future and Drake and Tems                                                          ,4/29/2022,
0.581,130.033,0.613,-8.588,0.25,0.551,0.0424,0.000345,83,0,3.99,0.537,High_Popularity,Taylor Swift                                                                   , 7/24/2020               ,
0.416,113.986,0.324,-8.92,0.11,0.151,0.0368,0.0000369,83,11,3.93,0.262,High_Popularity,Lana Del Rey                                                                   , 1/1/2013                ,
0.308,113.95,0.504,-14.958,0.158,0.121,0.0321,0.135,88,9,2.3,0.868,High_Popularity,Mitski                                                                         , 9/15/2023               ,
0.268,102.617,0.371,-10.506,0.104,0.165,0.0281,0.0517,85,1,3.78,0.748,High_Popularity,Coldplay                                                                       , 7/10/2000               ,
0.425,102.078,0.357,-7.301,0.322,0.27,0.0333,0,83,5,3.3,0.584,High_Popularity,Conan Gray                                                                     , 3/20/2020               ,
0.468,94.434,0.369,-9.013,0.109,0.18,0.0273,0.566,87,5,4.84,0.0205,High_Popularity,Cigarettes After Sex                                                           , 6/9/2017                ,
0.529,161.989,0.671,-7.226,0.0856,0.203,0.307,0.000335,83,0,2.76,0.0769,High_Popularity,Juice WRLD                                                                     , 12/10/2018              ,
0.763,120.042,0.695,-3.497,0.0863,0.551,0.0396,0.00242,83,0,3.59,0.189,High_Popularity,Post Malone                                                                    , 9/6/2019                ,
0.745,180.098,0.464,-3.202,0.363,0.262,0.161,0,85,4,3.18,0.0235,High_Popularity,Hanumankind and Kalmi                                                           ,7/9/2024,
0.787,119.996,0.704,-6.751,0.159,0.31,0.0462,0.00538,83,11,3.57,0.00926,High_Popularity,HUGEL and Topic and Arash and Daecolm                                                 , 7/19/2024      ,
0.642,83.389,0.463,-4.474,0.0686,0.339,0.34,0,82,1,3.16,0.314,High_Popularity,Future and Drake and Tems                                                          , 4/29/2022                                   ,
0.104,76.474,0.443,-17.042,0.191,0.394,0.101,0,64,0,3.09,0.913,Low_Popularity, Ella Fitzgerald, 5/3/2007                ,
0.472,80.487,0.685,-9.691,0.224,0.475,0.0298,0.284,62,9,3.43,0.785,Low_Popularity, Galt MacDermot                                                                                                                                                                                                                                      , 1/1/2000                ,
0.365,119.347,0.67,-10.158,0.0575,0.45,0.0566,0,61,0,2.45,0.525,Low_Popularity, Frank Sinatra, 4/17/2015               ,
0.264,122.482,0.663,-14.571,0.1,0.657,0.0914,0,60,0,5.91,0.706,Low_Popularity, Ella Fitzgerald, 5/20/1997               ,
0.126,133.998,0.234,-25.427,0.102,0.216,0.0446,0.896,60,0,2.32,0.989,Low_Popularity, Johann Sebastian Bach, 3/29/2019               ,
0.0306,125.61,0.289,-30.79,0.102,0.118,0.0446,0.911,63,9,3.53,0.987,Low_Popularity, Ludwig van Beethoven,3/1/2015,
0.0161,128.143,0.169,-31.034,0.0805,0.0573,0.0442,0.86,65,9,2.9,0.986,Low_Popularity, Camille Saint-Saëns, 9/18/2015               ,
0.0336,67.359,0.0939,-24.041,0.0954,0.0516,0.0606,0.83,63,2,3.45,0.927,Low_Popularity, George Frideric Handel,7/1/2002,
0.00501,68.947,0.32,-33.366,0.0618,0.0383,0.0455,0.919,65,1,4.92,0.993,Low_Popularity, Claude Debussy, 7/27/2018               ,
0.00579,71.827,0.376,-31.615,0.0882,0.0369,0.0576,0.944,62,5,4.94,0.996,Low_Popularity, Erik Satie, 7/27/2013,
0.0545,140.966,0.194,-24.877,0.0551,0.0385,0.0366,0.945,60,4,10.74,0.983,Low_Popularity, Sergei Rachmaninoff, 1/1/2012                ,
0.0292,136.732,0.279,-26.804,0.104,0.0338,0.0406,0.902,60,8,4.89,0.987,Low_Popularity, Franz Liszt, 7/25/2011               ,
0.339,90.041,0.53,-16.973,0.102,0.0719,0.0419,0.874,58,2,3.78,0.567,Low_Popularity, Karl Jenkins, 7/25/2008,
0.00527,170.612,0.184,-37.264,0.173,0.151,0.0432,0.887,68,1,5.26,0.995,Low_Popularity, Ludwig van Beethoven, 9/25/2007               ,
0.0047,163.665,0.225,-30.928,0.0722,0.186,0.0509,0.881,65,1,4.32,0.992,Low_Popularity, Frédéric Chopin, 1/1/2000                ,
0.341,105.513,0.701,-12.26,0.359,0.163,0.0418,0.903,62,1,2.53,0.499,Low_Popularity, Max Richter, 1/1/2014                ,
0.674,135.975,0.872,-5.831,0.104,0.357,0.251,0,61,2,2.43,0.17,Low_Popularity, Cordae, 11/15/2024              ,
0.831,139.905,0.652,-5.972,0.269,0.648,0.264,0,68,10,2.52,0.0111,Low_Popularity, BabyChiefDoit                                                                                                                                                                                                                                       , 9/20/2024               ,
0.632,123.987,0.848,-7.381,0.282,0.253,0.277,0,68,2,2.85,0.398,Low_Popularity,41, 11/17/2023              ,
0.414,72.993,0.825,-6.634,0.357,0.106,0.144,0,66,2,3.34,0.00265,Low_Popularity, Kodak Black                                                                                                                                                                                                                                         , 2/25/2022               ,
0.607,141.992,0.68,-5.523,0.354,0.506,0.222,0.0000139,62,2,1.98,0.264,Low_Popularity, Pop Smoke                                                                                                                                                                                                                                           , 7/26/2019               ,
0.455,138.988,0.89,-10.226,0.153,0.897,0.437,0,64,2,3,0.158,Low_Popularity, SR                                                                                                                                                                                                                                                  , 11/27/2020              ,
0.538,146.933,0.759,-8.256,0.126,0.831,0.384,0,67,8,3.07,0.151,Low_Popularity, Pooh Shiesty, 2/5/2021                ,
0.59,119.97,0.88,-4.709,0.184,0.723,0.204,0,68,8,2.83,0.08,Low_Popularity, Teto, 1/20/2021               ,
0.586,124.041,0.808,-7.242,0.14,0.568,0.169,0,68,10,4.39,0.641,Low_Popularity, Arcángel, 4/11/2017               ,
0.519,95.006,0.872,-6.531,0.108,0.154,0.177,0,65,11,2.92,0.203,Low_Popularity, Rich The Kid                                                                                                                                                                                                                                        , 3/30/2018               ,
0.668,134.006,0.798,-5.244,0.0583,0.154,0.25,0.0000046,65,8,4.41,0.135,Low_Popularity, Young Dolph                                                                                                                                                                                                                                         , 4/1/2017                ,
0.655,139.955,0.845,-5.137,0.0974,0.516,0.0612,0,63,5,2.74,0.239,Low_Popularity, Doode, 9/28/2021               ,
0.566,96.937,0.852,-8.8,0.0852,0.54,0.093,0.00951,61,9,2.85,0.221,Low_Popularity, CKay, 4/19/2024               ,
0.637,171.264,0.567,-4.032,0.235,0.882,0.298,0.0346,68,9,2.2,0.499,Low_Popularity, Youka                                                                                                                                                                                                                                               , 7/5/2024                ,
0.732,115.019,0.748,-3.688,0.0723,0.967,0.0592,0,58,3,2.5,0.665,Low_Popularity, Dr. Yaro                                                                                                                                                                                                                                            , 8/9/2024                ,
0.552,112.022,0.813,-12.066,0.0951,0.517,0.0426,0.00667,66,4,3.38,0.0639,Low_Popularity, TitoM, 5/13/2024               ,
0.897,123.138,0.718,-5.701,0.881,0.912,0.164,0,67,1,2.47,0.153,Low_Popularity, Rema                                                                                                                                                                                                                                                , 7/10/2024               ,
0.652,166.058,0.476,-6.435,0.109,0.619,0.231,0.104,59,1,3.84,0.185,Low_Popularity, DJ Kawest, 9/20/2024               ,
0.631,175.946,0.721,-5.743,0.108,0.603,0.264,0.00000376,65,1,2.93,0.123,Low_Popularity, Aya Nakamura                                                                                                                                                                                                                                        , 6/19/2024               ,
0.738,130.18,0.612,-5.269,0.161,0.954,0.117,0.00000157,61,7,2.8,0.517,Low_Popularity, Ruger, 11/15/2024              ,
0.821,104.044,0.721,-5.695,0.0934,0.38,0.0355,0,64,11,3.04,0.178,Low_Popularity, Gabito Ballesteros, 10/21/2024              ,
0.626,76.625,0.714,-4.655,0.284,0.512,0.423,0,60,5,5.26,0.26,Low_Popularity, De La Ghetto, 8/28/2015               ,
0.805,142.503,0.691,-6.81,0.0975,0.866,0.0947,0,60,2,5.02,0.59,Low_Popularity, Calle 13, 11/22/2010              ,
0.805,90.945,0.552,-4.511,0.277,0.846,0.27,0,58,5,3.9,0.678,Low_Popularity, Canserbero                                                                                                                                                                                                                                          , 1/1/2010                ,
0.896,90.622,0.662,-5.311,0.186,0.79,0.251,0,68,5,5.09,0.318,Low_Popularity, Don Omar, 6/20/2006               ,
0.715,100.002,0.817,-5.13,0.214,0.398,0.0484,0,58,9,2.96,0.183,Low_Popularity, Maninder Buttar, 8/13/2021               ,
0.573,82.941,0.603,-5.843,0.0971,0.236,0.0502,0,68,1,3.81,0.478,Low_Popularity, Jasleen Royal, 8/5/2021                ,
0.467,90.831,0.428,-4.904,0.135,0.193,0.0327,0,67,2,4.43,0.68,Low_Popularity, B Praak, 8/15/2021               ,
0.785,91.101,0.638,-2.612,0.245,0.515,0.044,0,59,10,3.8,0.185,Low_Popularity, Jubin Nautiyal, 3/19/2021               ,
0.789,97.539,0.64,-6.691,0.53,0.311,0.0359,0.00388,58,0,4.03,0.0338,Low_Popularity, Phoenix                                                                                                                                                                                                                                             , 5/25/2009               ,
0.908,161.011,0.476,-4.569,0.124,0.649,0.068,0.000553,67,6,5.19,0.00776,Low_Popularity, Sam Fender                                                                                                                                                                                                                                          , 11/15/2024              ,
0.658,150.093,0.615,-7.299,0.205,0.293,0.0343,0.000911,68,5,3.78,0.096,Low_Popularity, alt-J                                                                                                                                                                                                                                               , 9/18/2012               ,
0.501,134.014,0.781,-9.767,0.0908,0.961,0.0333,0.00000378,68,3,2.96,0.66,Low_Popularity, Mk.gee                                                                                                                                                                                                                                              , 10/18/2024              ,
0.526,153,0.543,-9.703,0.0778,0.384,0.0582,0.0533,67,2,4.06,0.0447,Low_Popularity, The Backseat Lovers                                                                                                                                                                                                                                 , 1/27/2019               ,
0.699,122.942,0.56,-8.501,0.223,0.512,0.0327,0,67,4,3.01,0.00483,Low_Popularity, Royel Otis                                                                                                                                                                                                                                          , 1/29/2024               ,
0.896,118.001,0.595,-2.951,0.0748,0.567,0.047,0.0000582,66,10,3.41,0.0641,Low_Popularity, Saint Motel                                                                                                                                                                                                                                         , 8/16/2014               ,
0.675,97.04,0.612,-6.518,0.217,0.763,0.0231,0,66,9,3.36,0.0994,Low_Popularity, Steve Lacy                                                                                                                                                                                                                                          , 7/15/2022               ,
0.687,108.075,0.833,-7.851,0.108,0.418,0.0651,0.00453,66,11,3.3,0.58,Low_Popularity, Mk.gee                                                                                                                                                                                                                                              , 2/9/2024                ,
0.701,130.091,0.721,-5.941,0.234,0.892,0.0306,0.026,66,2,2.33,0.000927,Low_Popularity, Wet Leg                                                                                                                                                                                                                                             , 4/8/2022                ,
0.84,183.059,0.569,-4.123,0.0995,0.749,0.118,0.000118,65,1,4.16,0.0295,Low_Popularity, Tame Impala                                                                                                                                                                                                                                         , 2/14/2020               ,
0.749,131.024,0.6,-6.889,0.0915,0.485,0.0419,0.295,64,11,3.08,0.0467,Low_Popularity, Phoebe Bridgers                                                                                                                                                                                                                                     , 6/18/2020               ,
0.794,101.096,0.576,-5.119,0.154,0.6,0.0366,0.000155,64,2,3.03,0.0222,Low_Popularity, The Last Dinner Party                                                                                                                                                                                                                               , 4/19/2023               ,
0.354,78.964,0.807,-7.554,0.186,0.602,0.0321,0.713,64,9,2.6,0.15,Low_Popularity, Dominic Fike                                                                                                                                                                                                                                        , 6/23/2023               ,
0.771,111.057,0.658,-6.09,0.0767,0.79,0.072,0.001,63,10,3.35,0.000893,Low_Popularity, Balu Brigada                                                                                                                                                                                                                                        , 6/7/2024                ,
0.663,134.924,0.654,-8.913,0.13,0.676,0.0303,0.0557,63,1,3.14,0.0589,Low_Popularity, Mt. Joy                                                                                                                                                                                                                                             , 10/11/2024              ,
0.513,153.683,0.653,-8.972,0.148,0.844,0.0724,0.693,65,11,2.77,0.964,Low_Popularity, Mk.gee                                                                                                                                                                                                                                              , 2/9/2024                ,
0.565,130.047,0.713,-7.8,0.633,0.705,0.0351,0.0000032,63,7,3.48,0.0252,Low_Popularity, Lime Cordiale                                                                                                                                                                                                                                       , 10/13/2017              ,
0.804,107.48,0.528,-4.168,0.105,0.222,0.0358,0,62,10,4.63,0.0104,Low_Popularity, Florence + The Machine                                                                                                                                                                                                                              , 1/1/2011                ,
0.882,145.73,0.537,-2.306,0.12,0.81,0.0403,0.0000906,62,0,3,0.00035,Low_Popularity, OK Go                                                                                                                                                                                                                                               , 1/1/2005                ,
0.681,96.006,0.642,-5.426,0.0756,0.53,0.0259,0.533,60,2,3.12,0.119,Low_Popularity, Royel Otis                                                                                                                                                                                                                                          , 7/19/2024               ,
0.885,110.072,0.63,-5.674,0.206,0.289,0.0406,0.00000137,60,1,3.59,0.000397,Low_Popularity, Bleachers                                                                                                                                                                                                                                           , 6/2/2017                ,
0.452,168.102,0.538,-7.994,0.0635,0.209,0.0462,0.0000226,60,2,3.71,0.368,Low_Popularity, Dominic Fike, 7/7/2023                ,
0.797,139.963,0.636,-4.644,0.114,0.965,0.0296,0.00000426,60,8,3.13,0.00598,Low_Popularity, Wallows                                                                                                                                                                                                                                             , 3/21/2024               ,
0.601,122.017,0.602,-8.521,0.312,0.856,0.0411,0.0046,60,9,3.3,0.037,Low_Popularity, boy pablo                                                                                                                                                                                                                                           , 5/19/2017               ,
0.851,168.049,0.607,-7.754,0.107,0.479,0.0364,0.351,59,4,3.14,0.623,Low_Popularity, bbno$, 1/29/2021               ,
0.915,190.013,0.446,-6.221,0.218,0.398,0.141,0.0000387,60,9,3.41,0.00281,Low_Popularity, Bleachers                                                                                                                                                                                                                                           , 7/14/2014               ,
0.923,108.014,0.695,-3.93,0.116,0.551,0.0522,0.0469,59,1,3.59,0.0425,Low_Popularity, Gorillaz, 8/31/2022               ,
0.829,144.099,0.59,-5.649,0.19,0.704,0.0419,0.0000399,60,0,3.22,0.0601,Low_Popularity, Phoenix                                                                                                                                                                                                                                             , 5/25/2009               ,
0.538,95.508,0.9,-7.879,0.287,0.713,0.0343,0.843,58,7,2.89,0.229,Low_Popularity, STRFKR                                                                                                                                                                                                                                              , 9/23/2008               ,
0.954,95.008,0.474,-4.348,0.174,0.944,0.0347,0.00000117,58,9,2.89,0.0000121,Low_Popularity, Good Kid                                                                                                                                                                                                                                            , 4/14/2023               ,
0.761,141.282,0.323,-6.143,0.0827,0.466,0.0479,0.000586,58,7,5.54,0.00942,Low_Popularity, Daisy Jones & The Six                                                                                                                                                                                                                               , 3/2/2023                ,
0.631,91.007,0.537,-6.558,0.325,0.491,0.0263,0.003,58,0,2.65,0.0453,Low_Popularity, beabadoobee                                                                                                                                                                                                                                         , 5/9/2024                ,
0.184,152.043,0.447,-18.937,0.171,0.152,0.0611,0.924,59,0,2,0.544,Low_Popularity, Coltsfoot                                                                                                                                                                                                                                           , 10/4/2024               ,
0.136,153.998,0.608,-20.155,0.115,0.354,0.0645,0.926,60,1,2.14,0.882,Low_Popularity, Zupa Fitz                                                                                                                                                                                                                                           , 10/13/2024              ,
0.124,69.99,0.563,-23.386,0.104,0.163,0.0419,0.932,61,6,2.34,0.948,Low_Popularity, Sihu                                                                                                                                                                                                                                                , 9/3/2024                ,
0.518,104.565,0.661,-8.004,0.431,0.676,0.0269,0.000158,58,7,2.6,0.267,Low_Popularity, Johnny Cash                                                                                                                                                                                                                                         , 2/12/2002               ,
0.142,69.827,0.367,-12.717,0.107,0.1,0.0319,0.00367,66,6,3.16,0.913,Low_Popularity, Snoh Aalegra                                                                                                                                                                                                                                        , 10/29/2021              ,
0.462,173.866,0.596,-10.605,0.112,0.655,0.0589,0.0581,64,0,5.59,0.476,Low_Popularity, Cleo Sol                                                                                                                                                                                                                                            , 3/27/2020               ,
0.904,151.926,0.617,-5.371,0.507,0.764,0.341,0,63,11,4.58,0.317,Low_Popularity, Beyoncé                                                                                                                                                                                                                                             , 3/29/2024               ,
0.619,136.077,0.658,-7.316,0.0951,0.354,0.0772,0.0667,63,9,3.41,0.788,Low_Popularity, Alex Isley, 7/17/2020               ,
0.176,78.929,0.574,-10.924,0.119,0.497,0.213,0.437,63,8,3.94,0.928,Low_Popularity, Cleo Sol                                                                                                                                                                                                                                            , 9/15/2023               ,
0.184,146.701,0.451,-16.144,0.0978,0.21,0.0397,0.0414,61,4,3.67,0.554,Low_Popularity, Cleo Sol                                                                                                                                                                                                                                            , 11/1/2024               ,
0.44,98.615,0.236,-9.163,0.249,0.38,0.0299,0.573,59,8,3.26,0.767,Low_Popularity, Pale Jay, 4/2/2024                ,
0.662,118.009,0.669,-9.433,0.0942,0.469,0.0594,0.0215,58,7,3.99,0.49,Low_Popularity, Ezra Collective, 6/18/2024               ,
0.266,92.011,0.797,-13.758,0.0969,0.683,0.0415,0.0368,59,1,4.41,0.289,Low_Popularity, Cleo Sol                                                                                                                                                                                                                                            , 8/20/2021               ,
0.897,123.138,0.718,-5.701,0.881,0.912,0.164,0,67,1,2.47,0.153,Low_Popularity, Rema                                                                                                                                                                                                                                                , 7/10/2024               ,
0.672,96.003,0.694,-5.527,0.277,0.804,0.127,0,59,1,2.81,0.307,Low_Popularity, Ayra Starr, 5/9/2024                ,
0.512,116.945,0.784,-8.694,0.312,0.842,0.0944,0.000334,63,0,2.29,0.0951,Low_Popularity, Burna Boy                                                                                                                                                                                                                                           , 6/27/2024               ,
0.588,111.006,0.819,-7.52,0.113,0.705,0.0455,0.0000847,61,6,2.92,0.558,Low_Popularity, KiDi, 7/30/2024               ,
0.841,147.989,0.754,-4.563,0.0903,0.838,0.0921,0,68,2,2.29,0.136,Low_Popularity, Rema                                                                                                                                                                                                                                                , 7/10/2024               ,
0.812,100.049,0.455,-3.455,0.199,0.823,0.211,0,61,8,3.07,0.372,Low_Popularity, Darkoo, 8/8/2024                ,
0.765,84.978,0.598,-4.93,0.0225,0.844,0.323,0,65,5,2.4,0.275,Low_Popularity, Kizz Daniel                                                                                                                                                                                                                                         , 9/25/2024               ,
0.657,100.104,0.887,-5.784,0.106,0.932,0.0908,0.000363,61,9,2.77,0.153,Low_Popularity, Fireboy DML                                                                                                                                                                                                                                         , 5/2/2024                ,
0.592,108.081,0.824,-7.599,0.121,0.754,0.0448,0.0617,62,0,3.04,0.674,Low_Popularity, Olivetheboy                                                                                                                                                                                                                                         , 3/1/2024                ,
0.552,112.022,0.813,-12.066,0.0951,0.517,0.0426,0.00667,66,4,3.38,0.0639,Low_Popularity, TitoM, 5/13/2024               ,
0.986,175.003,0.494,-2.262,0.334,0.421,0.243,0.00000441,58,7,3.8,0.0505,Low_Popularity, Ado                                                                                                                                                                                                                                                 , 6/8/2022                ,
0.886,117.064,0.56,-4.588,0.355,0.601,0.0657,0,65,6,3.9,0.0593,Low_Popularity, King Gnu                                                                                                                                                                                                                                            , 11/29/2023              ,
0.54,111.955,0.592,-11.249,0.0965,0.354,0.0587,0.00187,59,8,4.2,0.692,Low_Popularity, Hikaru Utada                                                                                                                                                                                                                                        , 3/9/2021                ,
0.685,152.04,0.477,-4.554,0.277,0.308,0.0325,0,59,2,4.58,0.105,Low_Popularity, LiSA                                                                                                                                                                                                                                                , 10/12/2020              ,
0.878,100.267,0.402,-4.367,0.173,0.358,0.0846,0,65,2,3.92,0.000242,Low_Popularity, SPYAIR                                                                                                                                                                                                                                              , 2/14/2024               ,
0.953,96.047,0.569,-2.018,0.071,0.477,0.109,0.00000578,67,10,3.32,0.166,Low_Popularity, Ryokuoushoku Shakai                                                                                                                                                                                                                                 , 10/29/2023              ,
0.904,121.994,0.648,-4.565,0.0629,0.728,0.0786,0.00000207,64,6,5.47,0.0961,Low_Popularity, ALI, 10/10/2020              ,
0.889,139.903,0.61,-5.452,0.0657,0.506,0.0585,0.0865,64,4,4.11,0.000794,Low_Popularity, Megadeth                                                                                                                                                                                                                                            , 7/14/1992               ,
0.896,90.009,0.649,-2.704,0.102,0.924,0.056,0.0000119,60,10,4.65,0.000319,Low_Popularity, Disturbed                                                                                                                                                                                                                                           , 3/22/2010               ,
0.891,92.049,0.283,-8.165,0.159,0.226,0.178,0.0038,68,2,4.3,0.00678,Low_Popularity, Korn                                                                                                                                                                                                                                                , 10/11/1994              ,
0.985,125.307,0.325,-3.941,0.351,0.221,0.151,0.107,65,11,6.54,0.00177,Low_Popularity, Megadeth                                                                                                                                                                                                                                            , 10/4/1990               ,
0.874,119.708,0.428,-6.664,0.311,0.261,0.128,0.0419,63,4,3.54,0.000337,Low_Popularity, Sepultura                                                                                                                                                                                                                                           , 2/20/1996               ,
0.987,103.162,0.435,-4.667,0.268,0.1,0.16,0.0879,64,1,6.1,0.000195,Low_Popularity, Judas Priest                                                                                                                                                                                                                                        , 9/26/1990               ,
0.941,102.198,0.532,-9.025,0.15,0.278,0.0465,0.0527,60,9,8.23,0.000579,Low_Popularity, Dream Theater                                                                                                                                                                                                                                       , 6/30/1992               ,
0.931,162.115,0.214,-3.347,0.0797,0.233,0.143,0.00000309,64,7,5.81,0.000705,Low_Popularity, Bullet For My Valentine                                                                                                                                                                                                                             , 6/30/1993,
0.996,93.345,0.382,-4.119,0.417,0.327,0.104,0,65,7,2.46,0.00208,Low_Popularity, Slipknot                                                                                                                                                                                                                                            , 9/9/2009                ,
0.618,120.063,0.81,-10.581,0.0296,0.804,0.0382,0.000254,58,7,3.25,0.0139,Low_Popularity, Jimmy Cliff                                                                                                                                                                                                                                         , 8/10/1995               ,
0.548,92.059,0.801,-5.482,0.387,0.627,0.0516,0.000232,67,11,3.13,0.0854,Low_Popularity, Sublime                                                                                                                                                                                                                                             , 8/10/1991,
0.478,78.746,0.837,-5.861,0.0569,0.81,0.0627,0.00129,58,6,4.25,0.0571,Low_Popularity, Pepper                                                                                                                                                                                                                                              , 3/26/2002               ,
0.54,84.115,0.773,-7.123,0.131,0.322,0.103,0,68,6,4.67,0.371,Low_Popularity, 2Pac                                                                                                                                                                                                                                                , 3/14/1995               ,
0.703,94.828,0.813,-5.077,0.237,0.241,0.268,0.00000126,68,11,3.74,0.125,Low_Popularity, Mobb Deep                                                                                                                                                                                                                                           , 4/25/1995               ,
0.666,96.662,0.848,-6.547,0.129,0.744,0.274,0.000699,68,0,4.19,0.173,Low_Popularity, A Tribe Called Quest                                                                                                                                                                                                                                , 4/17/1990               ,
